MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
325,Peach Girl,7.0,"Slice of Life, Drama, Romance, School, Shoujo",Peach Girl:Super Pop Love Hurricane,ピーチガール,TV,25,"Jan 8, 2005 to Jun 25, 2005",Winter 2005,"TV Tokyo, Marvelous, Studio Jack",Funimation,Studio Comet,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3650.0,1683,79223,815,2808,52978,2517,5523,15397,3550.0,4907.0,8200.0,10506.0,6750.0,4025.0,2131.0,966.0,670.0,587.0
326,Petshop of Horrors,7.27,"Horror, Josei, Mystery, Supernatural",Pet Shop of Horrors,Pet Shop of Horrors (ペットショップ・オブ・ホラーズ),TV,4,"Mar 2, 1999 to Mar 23, 1999",Winter 1999,"Trans Arts, TBS","Sentai Filmworks, Urban Vision",Madhouse,Manga,22 min. per ep.,R - 17+ (violence & profanity),2492.0,2229,51510,339,1158,33334,817,833,15368,2229.0,3452.0,6091.0,7132.0,3902.0,1870.0,725.0,266.0,113.0,98.0
327,Puchi Pri*Yucie,7.42,"Comedy, Magic, Fantasy, Shoujo",Petite Princess Yucie,ぷちぷり＊ユーシィ,TV,26,"Sep 30, 2002 to Mar 24, 2003",Fall 2002,Unknown,ADV Films,Gainax,Original,25 min. per ep.,G - All Ages,1819.0,4531,12118,83,490,6683,481,552,3912,534.0,689.0,1222.0,1340.0,743.0,405.0,102.0,30.0,22.0,14.0
328,Piano (TV),6.02,"Music, Slice of Life, Drama, Romance, Shoujo",Piano:The Melody of a Young Girl's Heart,PIANO,TV,10,"Nov 11, 2002 to Jan 13, 2003",Fall 2002,"animate Film, Kids Station, Pioneer LDC",Nozomi Entertainment,OLM,Original,24 min. per ep.,G - All Ages,8155.0,5442,7678,8,274,3396,332,646,3030,84.0,114.0,291.0,630.0,681.0,552.0,275.0,118.0,61.0,58.0
329,Planetes,8.31,"Drama, Romance, Sci-Fi, Seinen, Space",Planetes,プラネテス,TV,26,"Oct 4, 2003 to Apr 17, 2004",Fall 2003,"Bandai Visual, NHK",Bandai Entertainment,Sunrise,Manga,25 min. per ep.,PG-13 - Teens 13 or older,219.0,762,195630,3540,11078,70506,8862,5944,99240,10836.0,18748.0,18579.0,9310.0,3409.0,1575.0,646.0,258.0,133.0,180.0
330,Midori no Hibi,7.28,"Comedy, Drama, Romance, Ecchi, Shounen",Midori Days,美鳥の日々,TV,13,"Apr 4, 2004 to Jun 27, 2004",Spring 2004,"Bandai Visual, Lantis","Media Blasters, NYAV Post",Studio Pierrot,Manga,24 min. per ep.,R+ - Mild Nudity,2430.0,1081,136704,603,3958,97410,3158,4179,27999,4886.0,9451.0,19773.0,22705.0,11132.0,5010.0,1826.0,723.0,391.0,317.0
331,Mahoujin Guruguru,7.61,"Adventure, Comedy, Magic, Fantasy, Shounen",Magical Circle Guru Guru,魔法陣グルグル,TV,45,"Oct 13, 1994 to Sep 14, 1995",Fall 1994,"Dentsu, Asahi Broadcasting",Unknown,Nippon Animation,Manga,23 min. per ep.,G - All Ages,1256.0,5148,8821,66,542,3374,588,552,3765,325.0,415.0,805.0,806.0,327.0,127.0,34.0,12.0,12.0,14.0
332,Dokidoki♡Densetsu: Mahoujin Guruguru,7.19,"Adventure, Comedy, Magic, Fantasy, Shounen",Magical Circle Guru Guru 2,ドキドキ♡伝説 魔法陣グルグル,TV,38,"Apr 4, 2000 to Dec 26, 2000",Spring 2000,"TV Tokyo, Sotsu",Unknown,Nippon Animation,Manga,23 min. per ep.,G - All Ages,2814.0,7592,3287,9,158,1563,162,194,1210,112.0,142.0,276.0,351.0,198.0,79.0,18.0,11.0,8.0,11.0
333,Mama wa Shougaku 4 Nensei,7.21,"Comedy, Drama, Sci-Fi",Mama is Just a Fourth Grade Pupil,ママは小学４年生,TV,51,"Jan 10, 1992 to Dec 25, 1992",Winter 1992,Unknown,Unknown,Sunrise,Original,24 min. per ep.,PG - Children,2749.0,6922,4232,24,212,2071,235,205,1509,173.0,172.0,360.0,438.0,281.0,114.0,40.0,19.0,17.0,10.0
334,Marmalade Boy,7.49,"Comedy, Drama, Romance, Shoujo",Marmalade Boy,ママレード・ボーイ,TV,76,"Mar 13, 1994 to Sep 3, 1995",Spring 1994,Asahi Broadcasting,"Discotek Media, Tokyopop",Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1621.0,2474,42135,578,2957,20651,2972,3067,12488,2237.0,2484.0,3997.0,4496.0,2396.0,1227.0,463.0,192.0,97.0,96.0
335,Matantei Loki Ragnarok,7.29,"Comedy, Magic, Mystery, Shounen, Supernatural",Mythical Detective Loki Ragnarok,魔探偵ロキ RAGNAROK,TV,26,"Apr 5, 2003 to Sep 27, 2003",Spring 2003,"TV Tokyo, Rakuonsha","ADV Films, Sentai Filmworks",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2400.0,2779,33954,208,1538,18599,1841,1978,9998,1270.0,1745.0,3518.0,4330.0,2281.0,1262.0,379.0,148.0,66.0,50.0
336,Ginyuu Mokushiroku Meine Liebe,6.46,"Fantasy, Shoujo",Unknown,吟遊黙示録 マイネリーベ,TV,13,"Nov 4, 2004 to Feb 3, 2005",Fall 2004,Rondo Robe,Unknown,Bee Train,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,6117.0,4629,11611,34,505,4246,617,936,5307,150.0,239.0,533.0,956.0,817.0,586.0,245.0,100.0,72.0,51.0
337,Psychic Academy,6.24,"Comedy, Romance, Supernatural",Psychic Academy,サイキックアカデミー煌羅万象,TV,24,"Mar 29, 2002 to Sep 13, 2002",Spring 2002,"Starchild Records, GANSIS",Tokyopop,E&G Films,Manga,11 min. per ep.,PG-13 - Teens 13 or older,7178.0,4910,9977,8,363,5925,296,509,2884,166.0,227.0,543.0,1034.0,1003.0,682.0,338.0,171.0,94.0,72.0
338,Versailles no Bara,8.33,"Military, Historical, Drama, Romance, Shoujo",The Rose of Versailles,ベルサイユのばら,TV,40,"Oct 10, 1979 to Sep 3, 1980",Fall 1979,Nippon Television Network,"Nozomi Entertainment, Discotek Media",Tokyo Movie Shinsha,Manga,24 min. per ep.,PG-13 - Teens 13 or older,206.0,1832,68422,2375,4264,25057,3813,2311,32977,5620.0,5081.0,5459.0,3342.0,1418.0,645.0,298.0,124.0,72.0,138.0
339,Serial Experiments Lain,8.03,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",Serial Experiments Lain,シリアルエクスペリメンツレイン,TV,13,"Jul 6, 1998 to Sep 28, 1998",Summer 1998,"TV Tokyo, Geneon Universal Entertainment, Genco, Pioneer LDC, TV Tokyo Music, Fujipacific Music","Funimation, Geneon Entertainment USA",Triangle Staff,Original,23 min. per ep.,R - 17+ (violence & profanity),509.0,255,480696,16764,30943,218721,23045,15267,192720,39531.0,41993.0,47711.0,31785.0,14563.0,7223.0,4016.0,1690.0,1083.0,1345.0
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.59,"Action, Historical, Martial Arts, Samurai, Shounen",Time of Shura,陸奥圓明流外伝 修羅の刻,TV,26,"Apr 6, 2004 to Sep 28, 2004",Spring 2004,"TV Tokyo, Sotsu, Marvelous, Media Factory",Media Blasters,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1324.0,3579,20829,131,1120,11039,748,808,7114,844.0,1416.0,2587.0,2350.0,1030.0,454.0,136.0,58.0,33.0,32.0
341,Spiral: Suiri no Kizuna,7.25,"Drama, Mystery, Shounen",Spiral:Bond of Reasoning,スパイラル -推理の絆-,TV,25,"Oct 1, 2002 to Mar 25, 2003",Fall 2002,"TV Tokyo, Aniplex, Sotsu, SME Visual Works",Funimation,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2555.0,2340,46893,324,1941,25819,2518,2412,14203,1754.0,2713.0,4739.0,5961.0,3204.0,1650.0,678.0,252.0,118.0,86.0
342,Starship Operators,7.0,"Drama, Military, Sci-Fi, Space",Unknown,スターシップ・オペレーターズ,TV,13,"Jan 5, 2005 to Mar 30, 2005",Winter 2005,Geneon Universal Entertainment,Geneon Entertainment USA,J.C.Staff,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,3653.0,4346,13490,39,586,5725,562,668,5949,212.0,472.0,1058.0,1386.0,817.0,472.0,168.0,70.0,30.0,30.0
343,Tsukuyomi: Moon Phase,7.0,"Comedy, Romance, Vampire, Fantasy, Seinen",Tsukuyomi:Moon Phase,月詠 −MOON PHASE−,TV,25,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,Unknown,Funimation,Shaft,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3657.0,1896,65203,300,3823,31849,4300,4895,20336,1466.0,2597.0,5628.0,7921.0,4765.0,2652.0,1130.0,474.0,238.0,157.0
344,Futatsu no Spica,7.37,"Sci-Fi, Supernatural, Drama, School",Twin Spica,ふたつのスピカ,TV,20,"Nov 1, 2003 to Mar 27, 2004",Fall 2003,NHK,Unknown,Group TAC,Manga,25 min. per ep.,PG-13 - Teens 13 or older,2034.0,5177,8664,63,295,4077,425,395,3472,276.0,452.0,881.0,938.0,475.0,230.0,73.0,20.0,13.0,12.0
345,Eikoku Koi Monogatari Emma,7.67,"Slice of Life, Historical, Drama, Romance, Seinen",Emma:A Victorian Romance,英國戀物語エマ,TV,12,"Apr 3, 2005 to Jun 19, 2005",Spring 2005,"Pony Canyon, TBS, Toshiba Entertainment, Fuji Creative",Nozomi Entertainment,Studio Pierrot,Manga,25 min. per ep.,G - All Ages,1097.0,2434,43246,270,1878,17473,1602,1394,20899,1347.0,2454.0,4458.0,3684.0,1536.0,667.0,197.0,74.0,47.0,36.0
346,W: Wish,6.19,"Drama, Harem, Romance, School, Slice of Life",Double Wish,W 〜ウィッシュ〜,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,Unknown,Unknown,"Trinet Entertainment, Picture Magic",Visual novel,12 min. per ep.,PG-13 - Teens 13 or older,7381.0,4319,13650,16,528,6726,459,643,5294,172.0,224.0,606.0,1186.0,1232.0,820.0,411.0,202.0,95.0,64.0
347,Wild Arms: Twilight Venom,6.66,"Action, Sci-Fi, Adventure, Magic, Vampire, Fantasy",Wild Arms,ワイルドアームズ トワイライトヴェノム,TV,22,"Oct 18, 1999 to Mar 27, 2000",Fall 1999,"Aniplex, WOWOW",ADV Films,Bee Train,Game,24 min. per ep.,PG-13 - Teens 13 or older,5112.0,5760,6728,15,290,3355,344,458,2281,119.0,174.0,446.0,773.0,555.0,360.0,161.0,55.0,36.0,21.0
348,Binzume Yousei,6.45,"Comedy, Fantasy, Magic, Slice of Life",Bottle Fairy,瓶詰妖精,TV,13,"Oct 3, 2003 to Dec 26, 2003",Fall 2003,"Hal Film Maker, Genco, Starchild Records",Geneon Entertainment USA,Xebec,Original,13 min. per ep.,G - All Ages,6151.0,3995,16433,48,591,8775,840,1448,4779,290.0,456.0,1050.0,1865.0,1705.0,1055.0,487.0,219.0,132.0,111.0
349,Magical Canan,6.19,"Supernatural, Drama, Magic, Fantasy",Magical Kanan,まじかるカナン,TV,13,"Jan 1, 2005 to Mar 26, 2005",Winter 2005,Unknown,Discotek Media,AIC ASTA,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,7413.0,6789,4439,5,218,1668,153,235,2165,63.0,65.0,134.0,272.0,287.0,203.0,92.0,55.0,37.0,19.0
350,Ojamajo Doremi,7.21,"Comedy, Magic",Magical DoReMi,おジャ魔女どれみ,TV,51,"Feb 7, 1999 to Jan 30, 2000",Winter 1999,Asahi Broadcasting,4Kids Entertainment,Toei Animation,Original,24 min. per ep.,G - All Ages,2738.0,2562,39689,491,2031,24758,2011,2175,8714,1659.0,1991.0,3796.0,5293.0,3115.0,1530.0,374.0,173.0,82.0,65.0
351,Ojamajo Doremi Sharp,7.34,"Comedy, Magic, Shoujo",Unknown,おジャ魔女どれみ＃,TV,49,"Feb 6, 2000 to Jan 28, 2001",Winter 2000,Asahi Broadcasting,Unknown,Toei Animation,Original,24 min. per ep.,G - All Ages,2141.0,4084,15723,78,607,11846,472,424,2374,822.0,1018.0,1728.0,2288.0,1258.0,536.0,138.0,55.0,26.0,26.0
352,Motto! Ojamajo Doremi,7.34,"Magic, Fantasy, Comedy, Shoujo",More! Useless Witch Doremi,も〜っと！おジャ魔女どれみ,TV,50,"Feb 4, 2001 to Jan 27, 2002",Winter 2001,Asahi Broadcasting,Unknown,Toei Animation,Original,24 min. per ep.,G - All Ages,2166.0,4048,15987,105,516,11423,560,652,2836,860.0,958.0,1661.0,2202.0,1261.0,529.0,160.0,51.0,36.0,31.0
353,Ojamajo Doremi Dokkaan!,7.59,"Comedy, Magic, Shoujo",Useless Witch Doremi Kaboom!,おジャ魔女どれみドッカ〜ン！,TV,51,"Feb 3, 2002 to Jan 26, 2003",Winter 2002,Asahi Broadcasting,Unknown,Toei Animation,Original,24 min. per ep.,G - All Ages,1294.0,4525,12205,181,443,8257,347,328,2830,862.0,776.0,1178.0,1396.0,693.0,304.0,77.0,27.0,17.0,19.0
354,UG☆Ultimate Girls,5.63,"Comedy, Ecchi, Magic, Sci-Fi",Ultimate Girls,UG☆アルティメットガール,TV,12,"Jan 10, 2005 to Mar 28, 2005",Winter 2005,m.o.e.,Media Blasters,Studio Matrix,Original,14 min. per ep.,R+ - Mild Nudity,9317.0,5317,8125,4,387,3865,309,663,2901,101.0,110.0,272.0,565.0,665.0,597.0,358.0,223.0,169.0,129.0
355,Shakugan no Shana,7.51,"Action, Drama, Fantasy, Romance, School, Supernatural",Shakugan no Shana:Season I,灼眼のシャナ,TV,24,"Oct 6, 2005 to Mar 23, 2006",Fall 2005,"Geneon Universal Entertainment, ASCII Media Works, Toshiba Entertainment, Cosmic Ray, Showgate","Funimation, Geneon Entertainment USA",J.C.Staff,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1542.0,279,462389,5502,20116,288718,18461,20836,114258,21748.0,34808.0,62572.0,60971.0,27496.0,13579.0,5359.0,1959.0,977.0,746.0
356,Fate/stay night,7.34,"Action, Supernatural, Magic, Romance, Fantasy",Fate/stay night,Fate/stay night,TV,24,"Jan 7, 2006 to Jun 17, 2006",Winter 2006,"Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes","Sentai Filmworks, Geneon Entertainment USA",Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),2152.0,119,730980,7011,29998,510563,19938,23686,146795,35378.0,57284.0,101538.0,107818.0,55337.0,26103.0,13081.0,5032.0,2350.0,1693.0
357,Bokusatsu Tenshi Dokuro-chan,6.59,"Comedy, Magic, Ecchi",Bludgeoning Angel Dokuro-chan,撲殺天使ドクロちゃん,OVA,4,"Mar 13, 2005 to Sep 22, 2005",Unknown,"Geneon Universal Entertainment, Showgate","Media Blasters, Discotek Media","Hal Film Maker, Nomad",Light novel,25 min. per ep.,R - 17+ (violence & profanity),5415.0,884,168553,738,3874,125119,2837,5649,31074,6527.0,8465.0,15872.0,23740.0,18397.0,10747.0,5949.0,2849.0,2169.0,1649.0
358,"Iriya no Sora, UFO no Natsu",6.99,"Drama, Romance, Sci-Fi",Unknown,イリヤの空、UFOの夏,OVA,6,"Feb 25, 2005 to Jun 29, 2005",Unknown,Happinet Pictures,Unknown,Toei Animation,Light novel,27 min. per ep.,R+ - Mild Nudity,3675.0,3392,23176,71,742,12756,609,602,8467,671.0,1039.0,2194.0,2839.0,1689.0,965.0,410.0,167.0,87.0,69.0
359,I'll/CKBC,6.3,"Action, Sports, School, Shounen",I'll/CKBC,I'll/CKBC,OVA,2,"Dec 18, 2002 to Mar 26, 2003",Unknown,"Aniplex, SME Visual Works",Media Blasters,M.S.C,Manga,30 min. per ep.,PG-13 - Teens 13 or older,6894.0,6682,4654,5,128,2536,89,118,1783,76.0,102.0,249.0,465.0,458.0,314.0,125.0,71.0,19.0,24.0
360,Himiko-den,6.24,"Adventure, Supernatural, Drama, Fantasy",Legend of Himiko,火魅子伝,TV,12,"Jan 7, 1999 to Apr 1, 1999",Winter 1999,"Rakuonsha, Studio Jack, Amuse, Hakuhodo, Mitsubishi, Panasonic Digital Contents",Central Park Media,Group TAC,Game,23 min. per ep.,PG-13 - Teens 13 or older,7165.0,6415,5119,4,223,2224,245,308,2119,53.0,76.0,204.0,451.0,421.0,317.0,127.0,56.0,23.0,18.0
361,Memories Off,5.93,"Romance, Drama",Unknown,Memories Off (メモリーズオフ),OVA,3,"Nov 21, 2001 to Mar 6, 2002",Unknown,E&G Films,Unknown,Unknown,Visual novel,30 min. per ep.,PG-13 - Teens 13 or older,8448.0,6120,5715,4,162,2622,165,225,2541,74.0,87.0,186.0,443.0,461.0,352.0,211.0,94.0,58.0,36.0
362,Memories Off 2nd,6.3,"Romance, Drama",Unknown,Memories Off 2nd (メモリーズオフ 2nd),OVA,3,"Jan 22, 2003 to May 21, 2003",Unknown,"Picture Magic, Rikuentai",Unknown,Unknown,Visual novel,30 min. per ep.,PG-13 - Teens 13 or older,6891.0,7465,3465,1,94,1952,91,71,1257,67.0,68.0,168.0,356.0,320.0,207.0,96.0,51.0,24.0,14.0
363,Memories Off 3.5,6.29,"Romance, Drama",Unknown,Memories Off 3.5 [メモリーズオフ3.5],OVA,4,"May 12, 2004 to Oct 20, 2004",Unknown,Unknown,Unknown,"Picture Magic, Rikuentai",Visual novel,27 min. per ep.,PG-13 - Teens 13 or older,6963.0,7836,2967,0,88,1532,87,73,1187,57.0,53.0,128.0,279.0,265.0,172.0,75.0,33.0,20.0,10.0
364,Gallery Fake,7.47,"Mystery, Seinen",Unknown,ギャラリーフェイク,TV,37,"Jan 8, 2005 to Sep 24, 2005",Winter 2005,"TV Tokyo, Aniplex",Unknown,"TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho",Manga,25 min. per ep.,PG-13 - Teens 13 or older,1675.0,4630,11555,54,653,3237,705,651,6309,262.0,437.0,757.0,794.0,395.0,228.0,79.0,22.0,15.0,14.0
365,Fake,6.54,"Police, Comedy, Romance, Mystery, Shounen Ai",Unknown,FAKE,OVA,1,"Apr 21, 1998",Unknown,Unknown,Media Blasters,J.C.Staff,Manga,55 min.,PG-13 - Teens 13 or older,5693.0,3916,17322,54,213,13736,110,170,3093,461.0,727.0,1374.0,2485.0,2164.0,1354.0,524.0,190.0,124.0,103.0
366,AIKa,5.94,"Action, Ecchi, Adventure, Comedy, Sci-Fi",Agent AIKa,ＡＩＫａ,OVA,7,"Apr 25, 1997 to Apr 25, 1999",Unknown,Bandai Visual,"Bandai Entertainment, Central Park Media",Studio Fantasia,Original,30 min. per ep.,R+ - Mild Nudity,8407.0,3152,27134,54,1014,15937,792,1397,7994,357.0,521.0,1246.0,2688.0,2888.0,2238.0,1199.0,680.0,362.0,215.0
367,Akazukin Chacha OVA,7.05,"Comedy, Fantasy, Magic",Unknown,赤ずきんチャチャ (1995),OVA,3,"Dec 6, 1995 to Mar 6, 1996",Unknown,Nihon Ad Systems,Unknown,Gallop,Manga,24 min. per ep.,G - All Ages,3445.0,8558,2245,5,50,1333,66,86,710,82.0,106.0,162.0,271.0,137.0,76.0,28.0,9.0,2.0,6.0
368,Bible Black,6.65,Hentai,Unknown,バイブルブラック,OVA,6,"Jul 21, 2001 to Jun 25, 2003",Unknown,Active,Media Blasters,Milky Animation Label,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,2132,54714,647,2709,39249,1547,2625,8584,3640.0,2437.0,4389.0,5983.0,5166.0,3380.0,1695.0,958.0,750.0,907.0
369,Boogiepop wa Warawanai,7.17,"Psychological, Supernatural, Dementia, Mystery, Drama, Horror",Boogiepop Phantom,ブギーポップは笑わない Boogiepop Phantom,TV,12,"Jan 5, 2000 to Mar 22, 2000",Winter 2000,"VAP, d-rights",Nozomi Entertainment,Madhouse,Light novel,24 min. per ep.,R+ - Mild Nudity,2899.0,1477,94052,770,4951,29544,4319,4319,50919,1944.0,3224.0,6077.0,6800.0,3934.0,2037.0,1077.0,418.0,287.0,224.0
370,Burn Up Excess,6.55,"Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen",Burn Up Excess,バーンナップEXCESS,TV,13,"Dec 12, 1997 to Jul 1, 1998",Winter 1998,AIC,ADV Films,Magic Bus,Original,25 min. per ep.,PG-13 - Teens 13 or older,5634.0,5063,9241,17,339,5216,351,389,2946,101.0,229.0,608.0,1189.0,946.0,508.0,174.0,72.0,45.0,24.0
371,Cardcaptor Sakura Movie 1,7.64,"Comedy, Drama, Magic, Fantasy, Shoujo",Cardcaptor Sakura The Movie,劇場版 カードキャプターさくら,Movie,1,"Aug 21, 1999",Unknown,"Bandai Visual, Shochiku, Shelty","Nelvana, Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr. 21 min.,PG - Children,1175.0,1611,83246,1378,652,72799,450,260,9085,5628.0,8076.0,13522.0,14188.0,5747.0,2037.0,452.0,132.0,41.0,48.0
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.22,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Card Captor Sakura Movie 2:The Sealed Card,劇場版 カードキャプターさくら 封印されたカード,Movie,1,"Jul 15, 2000",Unknown,"Bandai Visual, Shochiku, Kodansha, Shelty, Amber Film Works","Nelvana, Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr. 22 min.,PG - Children,291.0,1448,96284,1663,1070,82231,536,385,12062,11628.0,14097.0,16067.0,10336.0,3420.0,1189.0,228.0,77.0,32.0,67.0
373,Bannou Bunka Neko-Musume,6.7,"Sci-Fi, Adventure, Comedy, Mecha, Seinen",All Purpose Cultural Cat Girl Nuku Nuku,万能文化猫娘,OVA,6,"Oct 21, 1992 to May 25, 1994",Unknown,"Starchild Records, Movic","ADV Films, Discotek Media","Studio Fantasia, animate Film",Manga,28 min. per ep.,PG-13 - Teens 13 or older,4878.0,5053,9338,25,275,5120,369,385,3189,148.0,256.0,669.0,1159.0,851.0,495.0,178.0,63.0,22.0,22.0
374,Bannou Bunka Neko-Musume DASH!,6.37,"Action, Comedy, Ecchi, Romance, Sci-Fi",All Purpose Cultural Cat Girl Nuku Nuku Dash!,万能文化猫娘ＤＡＳＨ！,OVA,12,"Sep 23, 1998 to Dec 23, 1998",Unknown,Movic,"ADV Films, Discotek Media",Production Reed,Unknown,24 min. per ep.,R - 17+ (violence & profanity),6540.0,6619,4738,6,172,2576,197,260,1533,75.0,116.0,217.0,496.0,447.0,309.0,135.0,57.0,30.0,15.0
375,Bannou Bunka Neko-Musume (1998),6.53,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen",All Purpose Cultural Cat Girl Nuku Nuku TV,万能文化猫娘,TV,12,"Jan 7, 1998 to Mar 25, 1998",Winter 1998,Movic,"ADV Films, Discotek Media",Production Reed,Original,23 min. per ep.,PG-13 - Teens 13 or older,5739.0,5976,6116,7,241,3006,328,358,2183,93.0,117.0,337.0,685.0,524.0,340.0,135.0,51.0,21.0,24.0
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.19,"Horror, Psychological, Supernatural, Drama, Ecchi, Seinen",Elfen Lied:In the Passing Rain,エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）,Special,1,"Apr 21, 2005",Unknown,VAP,ADV Films,Arms,Manga,25 min.,R+ - Mild Nudity,2819.0,897,166365,309,1468,142339,886,614,21058,10260.0,12958.0,21062.0,27159.0,15020.0,7565.0,3141.0,1516.0,996.0,700.0
377,eX-Driver,6.73,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen",Unknown,エクスドライバー,OVA,6,"Jul 25, 2000 to Sep 25, 2001",Unknown,"Bandai Visual, Genco",Media Blasters,"Actas, Production Reed",Original,25 min. per ep.,PG-13 - Teens 13 or older,4758.0,5169,8710,33,293,5151,189,325,2752,164.0,311.0,629.0,1130.0,845.0,439.0,183.0,67.0,30.0,16.0
378,eX-Driver the Movie,6.64,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen",Unknown,エクスドライバー the Movie,Movie,1,"Apr 20, 2002",Unknown,"Bandai Visual, Genco",Geneon Entertainment USA,Actas,Original,1 hr. 2 min.,PG-13 - Teens 13 or older,5200.0,6940,4198,3,77,2976,61,59,1025,79.0,152.0,355.0,615.0,424.0,237.0,85.0,42.0,18.0,20.0
379,Heppoko Jikken Animation Excel♥Saga,7.5,"Comedy, Parody, Sci-Fi, Shounen",Excel Saga,へっぽこ実験アニメーション エクセル♥サーガ,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,Victor Entertainment,"ADV Films, Funimation",J.C.Staff,Manga,24 min. per ep.,R - 17+ (violence & profanity),1579.0,1485,93418,947,4732,47372,6872,7352,27090,4318.0,6782.0,11228.0,11001.0,5449.0,2641.0,1374.0,591.0,437.0,396.0
380,Fushigi Yuugi OVA,7.16,"Adventure, Fantasy, Romance, Comedy, Historical, Shoujo",Mysterious Play OVA,ふしぎ遊戯,OVA,3,"Oct 25, 1996 to Feb 25, 1997",Unknown,"Bandai Visual, Movic","Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,28 min. per ep.,PG-13 - Teens 13 or older,2945.0,3670,19938,94,303,15715,276,195,3449,1123.0,1344.0,2149.0,2863.0,1762.0,937.0,360.0,139.0,80.0,36.0
381,Fushigi Yuugi: Dai Ni Bu,7.27,"Adventure, Drama, Fantasy, Historical, Martial Arts, Romance, Shoujo",Mysterious Play OVA 2,ふしぎ遊戯　第二部,OVA,6,"May 25, 1997 to Oct 25, 1998",Unknown,Unknown,"Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,33 min. per ep.,PG-13 - Teens 13 or older,2494.0,3838,17853,77,311,13694,297,201,3350,1108.0,1294.0,1876.0,2461.0,1451.0,738.0,273.0,126.0,53.0,40.0
382,Futari Ecchi,6.37,"Comedy, Ecchi, Romance, Seinen, Slice of Life",Step Up Love Story,ふたりエッチ,OVA,4,"Jul 26, 2002 to Jan 22, 2004",Unknown,Half H.P Studio,Media Blasters,Chaos Project,Manga,28 min. per ep.,R+ - Mild Nudity,6568.0,2997,29617,41,1000,20234,654,853,6876,749.0,904.0,2104.0,3680.0,3454.0,2265.0,989.0,433.0,291.0,193.0
383,Galaxy Angel,7.03,"Comedy, Sci-Fi",Unknown,ギャラクシーエンジェル,TV,24,"Apr 8, 2001 to Sep 30, 2001",Spring 2001,"Bandai Visual, Broccoli, Studio Jack","Nozomi Entertainment, Bandai Entertainment",Madhouse,Game,13 min. per ep.,PG-13 - Teens 13 or older,3525.0,3343,23998,182,914,12598,1320,1562,7604,545.0,986.0,2144.0,3004.0,1770.0,1050.0,343.0,146.0,66.0,41.0
384,Gantz,7.05,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi",Gantz,ガンツ,TV,13,"Apr 13, 2004 to Jun 22, 2004",Spring 2004,Fuji TV,"ADV Films, Funimation",Gonzo,Manga,22 min. per ep.,R+ - Mild Nudity,3461.0,491,285300,2353,9722,181377,7381,14073,72747,11551.0,18443.0,32520.0,38335.0,21748.0,11143.0,7134.0,3471.0,2201.0,1830.0
